kernel,blur_sigma,mmd2,p_value
RBF (median),0.0,-0.007642994397095926,1.0
RBF (1.0),0.0,-0.019999986017600755,1.0
Linear,0.0,-1.0322117424242379,1.0
Poly (d=2),0.0,-0.00034429034608783257,1.0
Laplace (median),0.0,-0.01999665112001348,1.0
Matern (median),0.0,-0.010032403301959758,1.0
RBF (median),0.5,-0.006871583017676652,1.0
RBF (1.0),0.5,-0.01487098240842196,1.0
Linear,0.5,-0.9494114898989778,1.0
Poly (d=2),0.5,-0.0003097452645350017,1.0
Laplace (median),0.5,-0.007731247366033515,1.0
Matern (median),0.5,-0.008762374141193074,1.0
RBF (median),1.0,0.0027255129419192503,0.19801980198019803
RBF (1.0),1.0,-0.0010490033949302,1.0
Linear,1.0,-0.4941237373737124,0.9801980198019802
Poly (d=2),1.0,-0.00012538199376578227,0.9603960396039604
Laplace (median),1.0,-0.00034421458241427536,1.0
Matern (median),1.0,0.005764421847269108,0.039603960396039604
RBF (median),1.5,0.023550884824810714,0.009900990099009901
RBF (1.0),1.5,0.00027662041957555994,0.009900990099009901
Linear,1.5,0.5231320707070779,0.09900990099009901
Poly (d=2),1.5,0.00023309557365648603,0.019801980198019802
Laplace (median),1.5,0.00029540804225697167,0.009900990099009901
Matern (median),1.5,0.03431432537486612,0.009900990099009901
RBF (median),2.0,0.05270915009469679,0.009900990099009901
RBF (1.0),2.0,0.0010247448675710746,0.009900990099009901
Linear,2.0,2.2112699494949624,0.009900990099009901
Poly (d=2),2.0,0.0007511826794556892,0.009900990099009901
Laplace (median),2.0,0.0004877172102886923,0.009900990099009901
Matern (median),2.0,0.07178203838364783,0.009900990099009901
RBF (median),2.5,0.08488424972380026,0.009900990099009901
RBF (1.0),2.5,0.002460823483666819,0.009900990099009901
Linear,2.5,4.4177805555555665,0.009900990099009901
Poly (d=2),2.5,0.001357429951369159,0.009900990099009901
Laplace (median),2.5,0.000713559952915762,0.009900990099009901
Matern (median),2.5,0.11151065562231877,0.009900990099009901
RBF (median),3.0,0.11585402264835865,0.009900990099009901
RBF (1.0),3.0,0.0048653015261897635,0.009900990099009901
Linear,3.0,6.909057196969698,0.009900990099009901
Poly (d=2),3.0,0.0019840581104008832,0.009900990099009901
Laplace (median),3.0,0.0010329063046056425,0.009900990099009901
Matern (median),3.0,0.14914921792277724,0.009900990099009901
