kernel,bandwidth,mmd2,p_value,perm_time,experiment
rbf,median,0.35255767897002555,0.009900990099009901,0.24545884132385254,Limited Data (n=50)
rbf,1.0,0.0006837497086071534,0.009900990099009901,0.1011505126953125,Limited Data (n=50)
linear,,59.81517474489796,0.009900990099009901,0.039145708084106445,Limited Data (n=50)
poly,,0.00950264553537174,0.009900990099009901,0.03895068168640137,Limited Data (n=50)
poly,,0.2585199258609694,0.009900990099009901,0.04007840156555176,Limited Data (n=50)
laplace,median,0.018036374518677026,0.009900990099009901,0.3510556221008301,Limited Data (n=50)
laplace,0.5,6.872076206801575e-06,0.009900990099009901,0.2310810089111328,Limited Data (n=50)
rbf,median,-0.0018429194286615491,0.7722772277227723,0.6965546607971191,Subtle Diff (Noise)
rbf,1.0,-0.002352766177740955,1.0,0.17710447311401367,Subtle Diff (Noise)
linear,,-0.10264772727273908,0.5544554455445545,0.07744932174682617,Subtle Diff (Noise)
poly,,-8.746348679667532e-05,0.8811881188118812,0.07668161392211914,Subtle Diff (Noise)
poly,,-0.0006802714646467756,0.7128712871287128,0.10248136520385742,Subtle Diff (Noise)
laplace,median,-0.0004439596090030926,1.0,1.3621227741241455,Subtle Diff (Noise)
laplace,0.5,-5.945156474304406e-10,1.0,0.7480218410491943,Subtle Diff (Noise)
rbf,median,0.005013630445075634,0.039603960396039604,0.739506721496582,Subtle Diff (Blur)
rbf,1.0,-0.0010298782862633504,1.0,0.18385577201843262,Subtle Diff (Blur)
linear,,-0.3356901515151378,0.900990099009901,0.07467842102050781,Subtle Diff (Blur)
poly,,-5.917241260259068e-05,0.8217821782178217,0.06713318824768066,Subtle Diff (Blur)
poly,,-0.0014697403724746039,0.8712871287128713,0.09673643112182617,Subtle Diff (Blur)
laplace,median,-0.00030505188511015886,1.0,1.3820617198944092,Subtle Diff (Blur)
laplace,0.5,-5.273165028964877e-09,1.0,0.8208954334259033,Subtle Diff (Blur)
rbf,median,-0.0004613537720958849,0.46534653465346537,0.6811823844909668,H0 True (Split)
rbf,1.0,3.223324408566561e-07,0.16831683168316833,0.26610541343688965,H0 True (Split)
linear,,-0.14144280303028722,0.5346534653465347,0.12647557258605957,H0 True (Split)
poly,,-2.4873475354125762e-05,0.6039603960396039,0.08490300178527832,H0 True (Split)
poly,,-0.0006198567708333158,0.6138613861386139,0.11728310585021973,H0 True (Split)
laplace,median,3.298172860804235e-05,0.10891089108910891,1.340254545211792,H0 True (Split)
laplace,0.5,1.2542580278427995e-11,0.25742574257425743,0.7944154739379883,H0 True (Split)
